initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating,zSpread,zSpreadTrailing,MOVE,MOVETrailing,retsTrailing
0.03,0.01,5.0,-0.073,1.6094379124341005,0,1,500.0,6.214608098422191,9.0,0.2351974613,0.2232556807136363,0.7785,0.7744333333333334,0.3622654999999993
0.1,0.05,7.0,0.04,1.9459101490553128,0,1,500.0,6.214608098422191,1.0,0.3543526928,0.3869844763181818,0.649288,0.6340568571428571,0.1865005999999995
0.08,0.375,15.0,0.006,2.70805020110221,0,1,2000.0,7.600902459542082,1.0,0.2985871938,0.2969150855764706,0.6279,0.5840619047619048,0.3484013999999996
-0.04,0.75,10.0,-0.06,2.302585092994046,0,1,750.0,6.620073206530356,1.0,0.1262110467,0.1667547716523809,0.450469,0.5188558947368421,0.1208861999999998
2.45,4.875,5.5,1.986583746472253,1.7047480922384253,0,4,750.0,6.620073206530356,7.0,0.3940281979,0.3750871635652174,1.1387,1.2194699999999998,0.2127040999999996
1.35,3.625,3.0,0.851,1.0986122886681098,0,4,500.0,6.214608098422191,2.0,0.3081922736,0.2966477801142857,1.3213,1.34772,1.0670084999999996
0.95,2.125,6.0,0.6299999999999997,1.791759469228055,0,4,1000.0,6.907755278982137,8.0,0.2334828627,0.1818290911954545,1.1795,1.2505809523809523,-0.6143851000000006
0.12,0.45,4.0,0.067,1.3862943611198906,0,1,2200.0,7.696212639346407,1.0,0.1943695603999999,0.2299048571904761,1.4003,1.007385,-1.3740046000000004
1.275,0.875,8.0,0.9115,2.079441541679836,1,4,500.0,6.214608098422191,2.0,0.3094895031,0.2789152037999999,0.6557999999999999,0.6558136363636363,-0.3045363000000004
1.275,3.625,5.0,0.944,1.6094379124341005,1,4,625.0,6.437751649736401,3.0,0.2976284034,0.2966923539,1.3353,1.3471285714285717,1.0851240999999996
0.02,1.5,3.75,-0.1222632025580892,1.3217558399823195,0,1,300.0,5.703782474656201,8.0,0.2250420945,0.2410867733217391,1.1683,1.2081772727272728,0.6024373999999995
1.525,0.875,10.0,1.07,2.302585092994046,1,4,500.0,6.214608098422191,8.0,0.2634299711,0.2830085821222222,0.4777,0.4614105263157895,0.5277490999999993
1.0,0.875,8.0,0.6579999999999999,2.079441541679836,0,3,1500.0,7.313220387090301,4.0,0.2340343623,0.2203425113666666,0.8408,0.7831750000000001,0.6053565999999994
