,Security_Hash_Key,Effective_From_Date,Effective_To_Date,Hash_Diff_Effectivity,Is_Current,Is_Valid,dealDate,trancheBusinessKey,Pricing_currentLevel_type,bookState,hedgeBookState,timing,bookCloseLDN,bookCloseCET,Issuer_Hash_Key,name,issuerType,bondRatingType,countryName,issuerBusinessKey,lei,Moodys_Rating,SP_Rating,Fitch_Rating,currencyCode,expectedSize,actualSize,minimumDenomination,securities_isin,securityName,securityType,maturityTerm,maturityDate,coupon,seniority_name_1,seniority_name_1_adj,seniority_name_2,esgType,legalGoverningLaw_name_1,registrationType,referenceType,referenceName,index,referenceIsin,ipt,ipt_reference,ipt_price_down,ipt_price_up,ipt_equivalent,guidance,guidance_reference,guidance_price_down,guidance_price_up,guidance_equivalent,launch,launchValue,reoffer,reofferValue,reofferPrice,yieldToMaturity,status,moodys,sp,fitch,COUNTRY_ISO_CODE,ticker,ID_BB_Company,Ultimate_Obligor_ID,AFI_Commentary,AFI_Identifier_Obligor,Update_Date_Obligor,Coverage_Status_Obligor,Covered_By_Obligor,AGI_Financial_Obligor,Coverage_Status_Final_Company,Coverage_Status_Final_Company_Source,Coverage_Status_Final_Obligor,Coverage_Status_Final_Obligor_Source,finScore_upload_date,finScore_AFIIdentifier,Overall_Score,Financial_Score,Business_Score,Event_Score,Country_Ceiling,Risk_Cluster,ESG_Score,ECB_Demand,Industry_Group,Industry_Sector,frequency,paymentType,coupon_frequency,duration
2518,4fdff8afdd6cee309e55be43275765e21d83c991,2017-04-26 12:19:09.227000,9999-12-31 23:59:59.999999,5fe0c04127a5344691bbf61abd67530e41c321e3,1,1,2017-04-26,IPREO|38020,Reoffer,Final,Books Closed,,,,59de9cfac1cf2a264223a1c2598960169218f093,Swedbank Mortgage AB,Financials,Investment Grade,Sweden,IPREO|213845,549300TJREQ7GHIXWR36,Aa3,A+,,EUR,Benchmark,1000000000,100000,XS1606633912,Swedbank EUR 7yr,Covered Bond,7.0,2024-05-08 02:00:00.000000,0.4,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,MS-2a,MS,-2.0,-2.0,,-6,,-6.0,-6.0,,MSW - 6 bps,-6.0,MSW - 6 bps,-6.0,99.904,,Priced,Aaa,AAA,,SE,SWEDA,218236,125259.0,investable,BA00178,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,,,,,,,,,,,,,Diversified Finan Serv,Financial,Annually,Fixed (FXD),1,6.916888000042135
2542,ec67e2340fb1ba80e295e61a8928d10d7cef6128,2017-05-02 12:39:17.910000,9999-12-31 23:59:59.999999,47973556b4dcdc94eac298bc48fb87c958909c67,1,1,2017-05-02,IPREO|38030,Reoffer,Allocated,Books Closed,"Priced. FTT 12:50 UKT, 13:50 CET",12:50:00.0000000,13:50:00.0000000,e08a030cbb6bffaa179a63ed1ab18fb8cde8a89c,Muenchener Hypothekenbank eG,Financials,Investment Grade,Germany,IPREO|415622,529900GM944JT8YIRL63,,,,EUR,,500000000,1000,DE000MHB18J6,NEW MUNHYP 10YR EUR COVERED,Covered Bond,10.0,2027-05-07 02:00:00.000000,0.625,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,,,,,,MS-10a,MS,-10.0,-10.0,,MSW - 12 bps,-12.0,MSW - 12 bps,-12.0,99.48,0.679,Priced,Aaa,,,DE,MUNHYP,227245,227245.0,uninvestable,BA00087,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,9.725076398436755
3115,403b6edcec5a19948516cc202ce5b098a4816902,2017-05-09 13:44:51.327000,9999-12-31 23:59:59.999999,7d3221aaa5382e8ada0ceb253633878f6805e91d,1,1,2017-05-09,IPREO|38062,Reoffer,,Books Closed,Priced,,,2bca1b138956666c9fa4168a6ce27c944a977724,Compagnie de Financement Foncier,Financials,Investment Grade,France,IPREO|208349,DKGVVH5FKILG8R13CO13,Aaa,AAA,AAA,EUR,,1500000000,100000,FR0013256427,New Long 5yr Covered,Covered Bond,5.3,2022-09-16 02:00:00.000000,0.2,Secured,Secured,,,French,Reg S,Mid Swaps,Mid Swaps,,,,,,,,MS-4bps area,MS,-4.0,-4.0,,MSW - 6 bps,-6.0,MSW - 6 bps,-6.0,99.857,0.227,Priced,Aaa,AAA,,FR,CFF,823979,823979.0,investable,,,,,,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,4.98007972089332
2609,fb39d5a4bf5aedfa7d5bc65389b3e6ee60ce6f61,2017-05-10 12:01:59.037000,9999-12-31 23:59:59.999999,01bd97fff1671398aeda6a259c47a2a32c640752,1,1,2017-05-10,IPREO|38068,Reoffer,Books Closed,Books Closed,,,,a96f7d40f1fbde2502a22da631262d328e87febc,De Volksbank N.V.,Financials,Investment Grade,Netherlands,IPREO|467089,724500A1FNICHSDF2I11,A2,A,A-,EUR,,500000000,100000,XS1614202049,NEW DE VOLKSBANK 10Y EUR500M NG CB,Covered Bond,10.0,2027-05-18 02:00:00.000000,0.75,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,,,,,,MS+4a,MS,4.0,4.0,,MSW + 3 bps,3.0,MSW + 3 bps,3.0,98.941,0.861,Priced,Aaa,,AAA,NL,DEVOBA,219539,219539.0,investable,BA00129,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,9.671576423889192
2102,ed8b68291493cf07e735dd897ca0122c322f74b4,2017-05-10 08:28:17.783000,9999-12-31 23:59:59.999999,5d9f271bff0ccaa692835f4e79cf59fbea05ff4c,1,1,2017-05-10,IPREO|38064,Reoffer,Allocated,Books Closed,Priced. FTT  @ 16:30 UKT,16:30:00.0000000,,9c52bb88c62cc1ef46d9e785029a38d7f658e749,Repsol International Finance  BV,Corporate,Investment Grade,Netherlands,IPREO|716590,5493002YCY6HTK0OUR29,Baa2,BBB,BBB,EUR,,500000000,100000,XS161314048 ,REPSOL 5yr GREEN BOND,Bond (standard),5.0,2022-05-23 02:00:00.000000,0.5,Senior,Sr Unsecured,Unsecured,,English,Reg S,Mid Swaps,Mid Swaps,,,MS + 55 bps area,MS,55.0,55.0,,MS+40bps (+/-3),MS,40.0,40.0,+/-3,MSW + 35 bps,35.0,MSW + 35 bps,35.0,99.568,0.588,Priced,Baa2,BBB-,BBB,NL,REPSM,209794,101254.0,investable,ENG00073,31.10.2019 14:43,ok,RK,Oil and Gas,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,ENG00073,7.33,8.067,5.688334,0.0,7.33,P_strong,3.0,low,Oil&Gas,Energy,Annually,Fixed (FXD),1,4.950495659739363
2399,b9b1673d9081c0860ad1840a591dac46e9239e31,2017-05-10 07:19:59.543000,9999-12-31 23:59:59.999999,00a2aa56c8167b46777088292a7e10b140c2aa4b,1,1,2017-05-10,IPREO|38061,Reoffer,,Books Closed,,,,b31cbb0dd9d2fd2cf72d453ef673b59b63bccae1,NatWest Group plc,Financials,Investment Grade,Britain,IPREO|234506,2138005O9XJIJN4JPN90,A3,BBB+,A,EUR,,1250000000,100000,XS1612958253,7yr EUR FXD CB,Covered Bond,7.0,2024-05-15 02:00:00.000000,0.5,Senior,Sr Unsecured,Secured,,English,Reg S,Mid Swaps,Mid Swaps,,,MS+15bps area,MS,15.0,15.0,,,,,,,MSW + 10 bps,10.0,MSW + 10 bps,10.0,99.296,0.603,Priced,Aaa,,AAA,GB,NWG,112194,112194.0,investable,BA00030,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Quarterly,Fixed (FXD),4,27.50069829410521
1342,2dd3662e633b323668e7fd26e729d1a986662b4e,2017-05-10 13:45:00.833000,9999-12-31 23:59:59.999999,abbd6e9d7f7bdbde04e9705c82049c18752e2e47,1,1,2017-05-10,IPREO|38069,Reoffer,,Books Closed,"Priced, FTT @ 14:50 LDN",14:50:00.0000000,,209535dba1c8d25dec4115264bfd4320c9124c31,Goldman Sachs Group Inc,Financials,Investment Grade,United States,IPREO|341017,784F5XWPLTWKTBV3E584,NR,,,EUR,,2000000000,1000,XS1614198262,7yr Non-Call 6yr,Bond (standard),7.0,2024-05-15 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsubordinated,,,Reg S,Mid Swaps,Mid Swaps,,,MS+95 area,MS,95.0,95.0,,,,,,,MSW + 90 bps,90.0,MSW + 90 bps,90.0,99.993,1.376,Priced,A3,BBB+,A,US,GS,348768,348768.0,investable,BA00201,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.721518735032706
1183,a4d39cfc41e2f26bf8f67d188b3d22bacaeb9687,2017-05-11 13:38:04.857000,9999-12-31 23:59:59.999999,5014255f288598fe05918d4680ea4a359f4dd606,1,1,2017-05-11,IPREO|38085,Reoffer,Final,Books Closed,,,,187cb483e206703dc830af4a6ba1d6469f3ea0fd,JAB Holdings B.V.,Corporate,Investment Grade,Netherlands,IPREO|JAB Holdings B.V.,529900RRNKUM3INJGF98,,,,EUR,750,750000000,100000,DE000A19HCW0,JAB 7yr EUR,Bond (standard),7.0,2024-05-22 02:00:00.000000,1.25,Senior,Sr Unsecured,Unsecured,,,Reg S,Mid Swaps,Mid Swaps,,,MS+100bps area,MS,100.0,100.0,,,,,,,MSW + 85 bps,85.0,MSW + 85 bps,85.0,99.362,,Priced,Baa1,BBB+,,NL,JABHOL,21119017,41633819.0,investable,,,,,,not_covered,GSUniverse,,,,,,,,,,,10.0,high,Investment Companies,Financial,Annually,Fixed (FXD),1,6.746009920563581
808,ae3d913ee3b17de556d8d8dbb41645e529e4442d,2017-05-11 13:38:04.857000,9999-12-31 23:59:59.999999,ad58d9c9841c7c45e5779962c59791bcb8766758,1,1,2017-05-11,IPREO|38086,Reoffer,Final,Books Closed,,,,187cb483e206703dc830af4a6ba1d6469f3ea0fd,JAB Holdings B.V.,Corporate,Investment Grade,Netherlands,IPREO|JAB Holdings B.V.,529900RRNKUM3INJGF98,,,,EUR,750,750000000,100000,DE000A19HCX8,JAB 11yr EUR,Bond (standard),11.0,2028-05-18 02:00:00.000000,2.0,Senior,Sr Unsecured,Unsecured,,,Reg S,Mid Swaps,Mid Swaps,,,MS+130bps area,MS,130.0,130.0,,,,,,,MSW + 115 bps,115.0,MSW + 115 bps,115.0,99.017,,Priced,Baa1,BBB+,,NL,JABHOL,21119017,41633819.0,investable,,,,,,not_covered,GSUniverse,,,,,,,,,,,10.0,high,Investment Companies,Financial,Annually,Fixed (FXD),1,9.982585006242235
2361,2da02dcc28f491514d15af436bc1d8783bc4c615,2017-05-11 17:14:50.193000,9999-12-31 23:59:59.999999,d1dfbafb89c7e80f5963bbe02cafd2262ef3780e,1,1,2017-05-11,IPREO|38090,Reoffer,Final,Books Closed,,,,2075ea0360ded7abec0cd67e43ad5ef48249e48a,Westpac Banking Corporation,Financials,Investment Grade,Australia,IPREO|219295,EN5TNI6CI43VEPAMHL14,,,,EUR,,500000000,100000,XS1615085864,15 yr euro covered,Covered Bond,15.0,2032-05-17 02:00:00.000000,1.375,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,20/22bp,,20.0,22.0,,15 YR guidance MS+17a,MS,17.0,17.0,,MSW + 17 bps,17.0,MSW + 17 bps,17.0,99.825,,Priced,Aaa,,AAA,AU,WSTP,101650,101650.0,investable,BA00007,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,13.656231360183051
