,isin,SPREAD_TO_MID_SWAPS_AT_ISSUE,FIXED_REOFFER_SPREAD_TO_MID_SWAP,PAYMENT_RANK,AMT_ISSUED,MIN_INCREMENT,INDUSTRY_SECTOR
0,CH1214797172,495.0,,Sr Unsecured,3000000000.0,1000.0,Financial
1,XS2155486942,425.0,425.0,Sr Unsecured,449250000.0,1000.0,Financial
2,ES0380907065,425.0,425.0,Sr Non Preferred,500000000.0,100000.0,Financial
3,XS2193857575,,405.0,Sr Unsecured,200000000.0,1000.0,Financial
4,IT0005523896,360.0,360.0,Sr Non Preferred,500000000.0,1000.0,Financial
5,XS2154325489,365.0,365.0,Sr Unsecured,900000000.0,1000.0,Basic Materials
6,FR0013524865,365.0,365.0,Sr Unsecured,750000000.0,100000.0,"Consumer, Non-cyclical"
7,XS2171872570,335.0,335.0,Sr Unsecured,500000000.0,1000.0,Communications
8,XS2152061904,360.0,360.0,Sr Unsecured,800000000.0,1000.0,"Consumer, Cyclical"
9,XS2237434803,350.0,350.0,Sr Unsecured,1000000000.0,1000.0,Financial
10,XS2611221032,350.0,350.0,Sr Unsecured,650000000.0,1000.0,Financial
11,XS2171875839,345.0,345.0,Sr Unsecured,750000000.0,1000.0,Financial
12,BE6320936287,355.0,355.0,Sr Unsecured,1750000000.0,1000.0,"Consumer, Non-cyclical"
13,XS2155365641,375.0,375.0,Sr Unsecured,500000000.0,1000.0,Financial
14,FR0013510179,320.0,320.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Non-cyclical"
15,XS2153597518,335.0,335.0,Sr Unsecured,850000000.0,1000.0,"Consumer, Non-cyclical"
16,XS2484502823,362.5,362.5,Secured,500000000.0,1000.0,Communications
17,FR0013533031,315.0,315.0,Sr Unsecured,500000000.0,100000.0,Basic Materials
18,XS2558591967,,,Sr Non Preferred,500000000.0,1000.0,Financial
19,XS2152062209,335.0,335.0,Sr Unsecured,700000000.0,1000.0,"Consumer, Cyclical"
20,FR0013505633,290.0,290.0,Sr Unsecured,1500000000.0,100000.0,Industrial
21,XS2126084750,325.0,325.0,Sr Unsecured,500000000.0,1000.0,Financial
22,DE000HCB0BQ0,340.0,340.0,Sr Non Preferred,500000000.0,100000.0,Financial
23,DE000A28V319,325.0,325.0,Sr Unsecured,500000000.0,100000.0,Financial
24,FR0013512944,310.0,310.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Cyclical"
25,XS2171759256,275.0,275.0,Sr Unsecured,500000000.0,1000.0,Communications
26,XS2528155893,325.0,325.0,Sr Non Preferred,500000000.0,100000.0,Financial
27,FR0013510823,280.0,280.0,Sr Unsecured,600000000.0,100000.0,"Consumer, Non-cyclical"
28,XS2199716304,290.0,290.0,Sr Unsecured,500000000.0,1000.0,Industrial
29,BE0002913946,315.0,315.0,Sr Non Preferred,500000000.0,100000.0,Financial
30,ES0380907057,305.0,305.0,Sr Preferred,500000000.0,100000.0,Financial
31,ES0265936031,305.0,305.0,Sr Preferred,500000000.0,100000.0,Financial
32,DE000A289RN6,295.0,295.0,Sr Unsecured,1500000000.0,1000.0,"Consumer, Cyclical"
33,XS2152883406,310.0,310.0,Secured,750000000.0,1000.0,"Consumer, Non-cyclical"
34,XS2495521515,325.0,325.0,Sr Preferred,300000000.0,1000.0,Financial
35,XS2177555062,315.0,315.0,Sr Unsecured,500000000.0,100000.0,"Consumer, Non-cyclical"
36,XS2582501925,285.0,285.0,Secured,500000000.0,1000.0,Communications
37,FR0013518420,285.0,285.0,Sr Unsecured,650000000.0,100000.0,Communications
38,XS2555420103,285.0,285.0,Sr Non Preferred,1000000000.0,1000.0,Financial
39,XS2152058868,290.0,290.0,Sr Unsecured,650000000.0,1000.0,"Consumer, Cyclical"
40,XS2154336338,285.0,285.0,Sr Unsecured,650000000.0,1000.0,Industrial
41,FR0013506821,280.0,280.0,Sr Unsecured,800000000.0,100000.0,Financial
42,BE0002872530,310.0,310.0,Sr Non Preferred,300000000.0,100000.0,Financial
43,XS2135801160,280.0,280.0,Sr Unsecured,1250000000.0,1000.0,Energy
44,FR0013509643,275.0,275.0,Sr Unsecured,599900000.0,100000.0,Communications
45,XS2153593103,275.0,275.0,Sr Unsecured,850000000.0,1000.0,"Consumer, Non-cyclical"
46,BE6320935271,285.0,285.0,Sr Unsecured,1750000000.0,1000.0,"Consumer, Non-cyclical"
47,XS2555925218,285.0,285.0,Sr Unsecured,750000000.0,1000.0,Financial
48,XS2015314037,290.0,290.0,Sr Non Preferred,500000000.0,1000.0,Financial
49,XS2238342484,260.0,260.0,Sr Unsecured,650000000.0,1000.0,Financial
50,XS2201946634,280.0,280.0,Sr Unsecured,500000000.0,100000.0,Financial
51,DE000AAR0355,300.0,300.0,Sr Preferred,500000000.0,100000.0,Financial
52,XS2585964476,275.0,275.0,Sr Preferred,500000000.0,1000.0,Financial
53,BE6339428904,275.0,275.0,Sr Non Preferred,500000000.0,100000.0,Financial
54,XS2495084621,300.0,300.0,Sr Unsecured,500000000.0,1000.0,Industrial
55,FR0013505260,270.0,270.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Non-cyclical"
56,FR001400B1L7,280.0,280.0,Sr Unsecured,500000000.0,1000.0,"Consumer, Cyclical"
57,XS2240507801,265.0,265.0,Sr Unsecured,700000000.0,1000.0,Communications
58,FR0013505625,240.0,240.0,Sr Unsecured,1000000000.0,100000.0,Industrial
59,XS2150054372,255.0,255.0,Sr Unsecured,750000000.0,100000.0,Industrial
60,XS2156244043,265.0,265.0,Sr Unsecured,500000000.0,1000.0,Industrial
61,XS2582358789,250.0,250.0,Sr Preferred,750000000.0,1000.0,Financial
62,XS2202744384,265.0,265.0,Sr Unsecured,500000000.0,100000.0,Energy
63,PTCGDDOM0036,275.0,275.0,Sr Preferred,500000000.0,100000.0,Financial
64,XS2156583259,265.0,265.0,Sr Unsecured,750000000.0,100000.0,Energy
65,XS2586739729,245.0,245.0,Sr Unsecured,600000000.0,1000.0,"Consumer, Non-cyclical"
66,XS2180009081,255.0,255.0,Sr Unsecured,500000000.0,1000.0,Communications
67,XS2016160777,280.0,280.0,Sr Preferred,500000000.0,1000.0,Financial
68,XS2135799679,265.0,265.0,Sr Unsecured,1000000000.0,1000.0,Energy
69,DE000A28V301,270.0,270.0,Sr Unsecured,500000000.0,100000.0,Financial
70,XS2182067350,260.0,260.0,Sr Unsecured,500000000.0,1000.0,"Consumer, Cyclical"
71,XS2147995372,245.0,245.0,Sr Unsecured,800000000.0,1000.0,"Consumer, Non-cyclical"
72,XS2177552390,285.0,285.0,Sr Unsecured,500000000.0,100000.0,"Consumer, Non-cyclical"
73,DE000A289XG8,255.0,255.0,Sr Unsecured,750000000.0,1000.0,"Consumer, Cyclical"
74,XS2156236452,235.0,235.0,Sr Unsecured,500000000.0,1000.0,"Consumer, Cyclical"
75,XS2547936984,270.0,270.0,Sr Preferred,500000000.0,100000.0,Financial
76,XS2599156192,250.0,250.0,Sr Unsecured,600000000.0,1000.0,Energy
77,XS2185868051,230.0,230.0,Sr Unsecured,1000000000.0,1000.0,Industrial
78,XS2152796426,240.0,240.0,Sr Unsecured,1000000000.0,1000.0,Industrial
79,XS2195092601,255.0,255.0,Sr Unsecured,900000000.0,100000.0,"Consumer, Non-cyclical"
80,FR001400EHH1,250.0,250.0,Sr Unsecured,650000000.0,100000.0,"Consumer, Non-cyclical"
81,DE000A28VQD2,240.0,240.0,Sr Unsecured,500000000.0,100000.0,Financial
82,XS2583203950,240.0,240.0,Sr Non Preferred,750000000.0,100000.0,Financial
83,FR0013399060,250.0,250.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Non-cyclical"
84,XS2207976783,255.0,255.0,Sr Non Preferred,1250000000.0,1000.0,Financial
85,XS2176562812,265.0,265.0,Sr Unsecured,750000000.0,1000.0,Communications
86,XS2579897633,225.0,225.0,Sr Unsecured,750000000.0,1000.0,"Consumer, Non-cyclical"
87,XS2194192527,220.0,220.0,Sr Unsecured,650000000.0,100000.0,Technology
88,XS2511906310,245.0,245.0,Sr Unsecured,750000000.0,1000.0,Financial
89,XS2056491660,265.0,265.0,Subordinated,250000000.0,1000.0,Financial
90,XS2589367528,250.0,250.0,Sr Unsecured,800000000.0,1000.0,"Consumer, Non-cyclical"
91,XS2193658619,215.0,215.0,Sr Unsecured,750000000.0,100000.0,Industrial
93,XS2056560571,255.0,255.0,Sr Unsecured,350000000.0,1000.0,Financial
94,XS2159791990,225.0,225.0,Sr Unsecured,1000000000.0,1000.0,"Consumer, Cyclical"
95,XS2153410977,260.0,260.0,Sr Unsecured,300000000.0,1000.0,Financial
96,FR001400CRG6,250.0,250.0,Sr Unsecured,650000000.0,1000.0,"Consumer, Cyclical"
97,DE000CZ43ZN8,240.0,240.0,Sr Non Preferred,750000000.0,100000.0,Financial
98,FR0013512233,230.0,230.0,Sr Unsecured,600000000.0,100000.0,Financial
99,FR0013452893,260.0,260.0,Sr Unsecured,500000000.0,100000.0,Financial
100,FR0013509627,235.0,235.0,Sr Unsecured,599900000.0,100000.0,Communications
101,XS2196317742,233.0,233.0,Sr Unsecured,400000000.0,1000.0,Communications
102,XS2555187801,240.0,240.0,Sr Non Preferred,1000000000.0,100000.0,Financial
103,FR0013506813,240.0,240.0,Sr Unsecured,600000000.0,100000.0,Financial
104,FR001400DNF5,245.0,245.0,Sr Unsecured,1000000000.0,100000.0,Industrial
105,XS2178957077,225.0,225.0,Sr Unsecured,500000000.0,100000.0,Utilities
106,BE6320934266,230.0,230.0,Sr Unsecured,1000000000.0,1000.0,"Consumer, Non-cyclical"
107,DE000A289XJ2,240.0,240.0,Sr Unsecured,1250000000.0,1000.0,"Consumer, Cyclical"
108,XS2485537828,245.0,245.0,Sr Preferred,500000000.0,1000.0,Financial
109,XS2013574384,240.0,240.0,Sr Unsecured,750000000.0,1000.0,"Consumer, Cyclical"
110,XS2154348424,240.0,240.0,Sr Unsecured,750000000.0,1000.0,Energy
111,PTGALCOM0013,227.0,227.0,Sr Unsecured,500000000.0,100000.0,Energy
112,FR0013449261,250.0,250.0,Sr Unsecured,500000000.0,100000.0,Communications
113,XS2180509999,,200.0,Sr Unsecured,650000000.0,1000.0,"Consumer, Cyclical"
114,XS2147977636,220.0,220.0,Sr Unsecured,800000000.0,1000.0,"Consumer, Non-cyclical"
115,XS2560415965,220.0,220.0,Sr Unsecured,300000000.0,1000.0,Industrial
116,XS1967636199,233.0,233.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Non-cyclical"
117,FR0014002O10,235.0,235.0,Sr Unsecured,500000000.0,100000.0,"Consumer, Non-cyclical"
118,FR00140010J1,210.0,210.0,Sr Unsecured,300000000.0,100000.0,Financial
119,XS2589907653,235.0,235.0,Sr Unsecured,750000000.0,1000.0,Financial
120,XS2236363573,230.0,230.0,Sr Unsecured,750000000.0,100000.0,"Consumer, Non-cyclical"
121,XS2150006562,210.0,210.0,Sr Unsecured,600000000.0,1000.0,Industrial
122,XS2147889690,240.0,240.0,Sr Unsecured,1000000000.0,1000.0,"Consumer, Non-cyclical"
123,FR001400DAO4,240.0,240.0,Sr Unsecured,500000000.0,100000.0,Basic Materials
124,XS2062490649,225.0,225.0,Sr Unsecured,500000000.0,1000.0,Utilities
125,XS2166755509,205.0,205.0,Sr Unsecured,1000000000.0,1000.0,Energy
126,XS2147995299,220.0,220.0,Sr Unsecured,800000000.0,1000.0,"Consumer, Non-cyclical"
127,XS2559501429,245.0,245.0,Sr Unsecured,500000000.0,100000.0,"Consumer, Non-cyclical"
128,XS2152796269,215.0,215.0,Sr Unsecured,750000000.0,1000.0,Industrial
129,XS2535725159,215.0,215.0,Sr Unsecured,500000000.0,100000.0,Utilities
130,XS2179959817,222.0,222.0,Sr Unsecured,500000000.0,1000.0,Financial
131,XS2545425980,225.0,225.0,Sr Preferred,300000000.0,1000.0,Financial
132,XS2177443343,195.0,195.0,Sr Unsecured,500000000.0,100000.0,Industrial
133,XS2536431617,223.0,223.0,Sr Unsecured,745000000.0,1000.0,Basic Materials
134,FR0013416146,225.0,225.0,Sr Unsecured,1000000000.0,100000.0,"Consumer, Non-cyclical"
135,XS2193960668,210.0,210.0,Sr Preferred,500000000.0,100000.0,Financial
136,FI4000530977,250.0,250.0,Sr Preferred,150000000.0,100000.0,Financial
137,XS2383811424,215.0,215.0,Sr Preferred,500000000.0,100000.0,Financial
138,XS2300293003,220.0,220.0,Sr Unsecured,1250000000.0,100000.0,Industrial
139,DE000A30WFV1,250.0,250.0,Sr Preferred,500000000.0,100000.0,Financial
140,FR0014001YB0,220.0,220.0,Sr Unsecured,700000000.0,100000.0,Communications
141,XS2455392584,220.0,220.0,Sr Non Preferred,750000000.0,100000.0,Financial
142,XS2164646304,210.0,210.0,Sr Unsecured,600000000.0,1000.0,Utilities
143,XS2240494471,220.0,220.0,Sr Unsecured,500000000.0,1000.0,"Consumer, Cyclical"
144,XS2150053721,205.0,205.0,Sr Unsecured,750000000.0,100000.0,Industrial
145,XS2180008513,213.0,213.0,Sr Unsecured,750000000.0,1000.0,Communications
146,DE000A3K5HW7,250.0,250.0,Sr Unsecured,500000000.0,100000.0,Financial
147,FR001400FDC8,230.0,230.0,Sr Unsecured,1000000000.0,100000.0,Utilities
148,FR0014000T33,210.0,210.0,Sr Unsecured,300000000.0,100000.0,Financial
149,XS2156581394,220.0,220.0,Sr Unsecured,750000000.0,100000.0,Energy
150,XS1936805776,225.0,225.0,Sr Non Preferred,1000000000.0,100000.0,Financial
151,XS2154325562,235.0,235.0,Sr Unsecured,600000000.0,100000.0,Financial
152,XS2576362839,205.0,205.0,Sr Unsecured,750000000.0,1000.0,Financial
153,XS2156236296,220.0,220.0,Sr Unsecured,500000000.0,1000.0,"Consumer, Cyclical"
154,FR0013521267,215.0,215.0,Sr Unsecured,750000000.0,100000.0,Financial
155,DE000CZ43ZB3,220.0,220.0,Sr Non Preferred,600000000.0,100000.0,Financial
156,FR0013521960,208.0,208.0,Sr Unsecured,500000000.0,100000.0,Industrial
157,FR001400DQ92,210.0,210.0,Sr Unsecured,900000000.0,100000.0,Utilities
158,XS2231183646,200.0,200.0,Sr Unsecured,600000000.0,100000.0,"Consumer, Non-cyclical"
159,XS1936308391,210.0,210.0,Sr Unsecured,1000000000.0,1000.0,Basic Materials
160,ES0365936048,225.0,225.0,Sr Preferred,500000000.0,100000.0,Financial
161,DE000A30WF84,215.0,215.0,Sr Preferred,500000000.0,1000.0,Financial
162,FR001400F0H3,218.0,218.0,Sr Unsecured,600000000.0,100000.0,Communications
163,XS2534976886,215.0,215.0,Sr Unsecured,650000000.0,1000.0,Utilities
164,XS2310411090,200.0,200.0,Sr Unsecured,350000000.0,1000.0,Financial
