date,isin,NIP,ipt,guidance,initialSpreadToSwap,coupon,maturityTerm,spreadToSwap,spreadDiscount,maturityTermLog,issuerType,paymentRank,issueSize,issueSizeLog,rating
2017-04-26,XS1606633912,0.4269233063863529,-2.0,-6.0,-0.02,0.4,7.0,-0.064,0.005495116776101974,1.9459101490553132,Financials,Secured,1000.0,6.907755278982137,AAA
2017-05-10,XS1614202049,3.2949605246564264,,4.0,0.04,0.75,10.0,-0.09499999999999996,0.04503108816399043,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2017-05-10,XS1614198262,6.550176445024088,95.0,,0.95,1.375,7.0,0.885,0.4340806384646755,1.9459101490553132,Financials,Sr Unsecured,2000.0,7.600902459542082,BBB+
2017-05-11,XS1615085781,1.097621559012791,12.0,8.0,0.12,0.5,7.0,0.020000000000000018,0.12084271827185117,1.9459101490553132,Financials,Secured,1000.0,6.907755278982137,AAA
2017-05-15,XS1616410061,-7.501360624786978,52.5,,0.525,0.875,7.0,0.405,0.1334486285745968,1.9459101490553132,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB
2017-05-16,XS1617845083,2.646950201972325,57.5,42.5,0.575,0.95,8.0,0.3400000000000001,0.3275254808025146,2.0794415416798357,Corporate,Sr Unsecured,1000.0,6.907755278982137,A+
2017-05-19,XS1621351045,-0.7777855019008539,75.0,67.5,0.75,1.375,9.0,0.68,0.12186380562423924,2.1972245773362196,Corporate,Sr Unsecured,500.0,6.214608098422191,A-
2017-05-22,XS1622193321,1.3609131421591634,14.0,10.0,0.14,1.25,15.0,0.030999999999999694,0.0383201893299384,2.70805020110221,Financials,Secured,1370.0,7.222566018822171,NR
2017-05-22,XS1622193248,2.0696533164181066,-7.0,-10.0,-0.07,0.25,7.0,-0.21999999999999997,-0.0806764956201534,1.9459101490553132,Financials,Secured,1500.0,7.313220387090301,NR
2017-05-31,XS1627193359,8.401503884755071,77.5,65.0,0.775,1.375,10.0,0.59,0.07674956328650694,2.302585092994046,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB
2017-06-13,FR0013262698,6.807043589198216,97.5,87.5,0.975,1.5,10.0,0.7400000000000001,0.5171504939173077,2.302585092994046,Corporate,Sr Unsecured,595.0,6.38856140554563,BBB
2017-06-19,FR0013263951,-1.742548289993411,-1.0,-3.0,-0.01,0.375,7.0,-0.025000000000000022,0.0323000620197632,1.9459101490553132,Financials,Secured,1000.0,6.907755278982137,AAA
2017-06-20,XS1637329639,0.462879872586746,15.0,13.0,0.15,0.75,10.0,0.015000000000000013,0.10954090656707471,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2017-06-21,XS1637863546,12.932963136685128,87.5,75.0,0.875,1.637,12.0,0.7269999999999999,0.3419952973279981,2.4849066497880004,Corporate,Sr Unsecured,650.0,6.476972362889683,A-
2017-06-21,XS1637863629,11.573187429058944,72.5,60.0,0.725,1.077,8.0,0.577,0.3554523966317747,2.0794415416798357,Corporate,Sr Unsecured,850.0,6.745236349484363,A-
2017-06-22,XS1639488771,19.46023221259156,120.0,,1.2,1.5,8.0,1.01,0.9207914980784888,2.0794415416798357,Corporate,Sr Unsecured,1000.0,6.907755278982137,BBB-
2017-06-28,FR0013266350,13.062372871795986,90.0,72.5,0.9,1.375,10.0,0.5549999999999999,0.4377223204218851,2.302585092994046,Corporate,Sr Unsecured,700.0,6.551080335043404,BBB+
2017-06-29,FR0013266830,3.528064294002247,50.0,37.5,0.5,0.75,7.0,0.22499999999999998,0.2037113539591509,1.9459101490553132,Corporate,Sr Unsecured,500.0,6.214608098422191,A-
2017-06-30,XS1642590480,6.25668828292088,102.5,95.0,1.025,1.375,7.5,0.7612503610371264,0.6434875181420763,2.0149030205422647,Corporate,Sr Unsecured,1000.0,6.907755278982137,BBB+
2017-07-06,XS1645503621,4.153583456568312,20.0,17.0,0.2,1.375,20.0,-0.17899999999999985,0.01466522629916117,2.995732273553991,Financials,Secured,1250.0,7.1308988302963465,AAA
2017-07-19,XS1652856540,6.836553471596915,,77.5,0.775,1.6,14.0,0.34889999999999977,-0.041389767200219224,2.6390573296152584,Corporate,Sr Unsecured,150.0,5.0106352940962555,BBB+
2017-07-19,XS1652855815,-2.9787429182695355,,65.0,0.65,1.5,10.0,0.5900000000000001,-0.16510826118968427,2.302585092994046,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB+
2017-08-29,XS1676933853,4.763396792766604,45.0,35.0,0.45,1.125,10.0,0.33899999999999997,0.06995437438432696,2.302585092994046,Financials,Sr Unsecured,750.0,6.620073206530356,AA-
2017-08-31,XS1675764945,7.065139054771474,57.5,47.5,0.575,0.872,7.0,0.447,0.16147941785971384,1.9459101490553132,Financials,Sr Unsecured,750.0,6.620073206530356,A
2017-08-31,DE000A19NS93,-0.6595786738257642,,67.5,0.675,1.125,8.0,0.575,-0.212979936561759,2.0794415416798357,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB+
2017-09-05,XS1681521081,-3.7799489286931616,107.5,92.5,1.075,1.715,10.0,0.9650000000000002,0.7899122627667339,2.302585092994046,Corporate,Sr Unsecured,1250.0,7.1308988302963465,BBB
2017-09-12,DE000CZ40MC5,-6.239306091993377,70.0,65.0,0.7,1.125,8.0,0.53,0.022530542480554628,2.0794415416798357,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB
2017-09-12,XS1685798370,4.539484607804716,65.0,52.5,0.65,0.875,7.0,0.415,0.03409564683205515,1.9459101490553132,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB
2017-09-19,FR0013284254,-0.3199217960865059,55.0,40.0,0.55,1.375,11.0,0.38280000000000003,0.12142807490909943,2.3978952727983707,Corporate,Sr Unsecured,750.0,6.620073206530356,A-
2017-09-22,XS1691781865,1.11163147315391,62.5,50.0,0.625,1.5,12.0,0.41999999999999993,0.07549206925027384,2.4849066497880004,Corporate,Sr Unsecured,800.0,6.684611727667927,BBB+
2017-09-26,XS1692489583,2.3132223469438875,,1.0,0.01,0.375,7.0,-0.10899999999999999,-0.07197776126784931,1.9459101490553132,Financials,Secured,500.0,6.214608098422191,AAA
2017-09-28,DE000NLB2Q36,0.6470524981255401,-7.0,-9.0,-0.07,0.375,7.0,-0.15900000000000003,0.08396713262022981,1.9459101490553132,Financials,Secured,500.0,6.214608098422191,AA+
2017-09-28,XS1693818285,5.501424297986955,30.0,20.0,0.3,0.625,7.0,0.09099999999999998,0.1496521678897807,1.9459101490553132,Corporate,Sr Unsecured,500.0,6.214608098422191,A+
2017-09-28,XS1693818525,8.773765438286441,42.5,32.5,0.425,1.375,12.0,0.2649999999999999,0.21240043766174385,2.4849066497880004,Corporate,Sr Unsecured,1000.0,6.907755278982137,A+
2017-10-04,FR0013286838,4.579198064266988,60.0,52.0,0.6,1.0,7.0,0.47,0.14435827538662757,1.9459101490553132,Financials,Sr Non Preferred,500.0,6.214608098422191,BBB
2017-10-05,FR0013287299,1.589276173292455,,-3.0,-0.03,0.75,10.0,-0.1449999999999999,-0.15883424957739473,2.302585092994046,Financials,Secured,1000.0,6.907755278982137,NR
2017-10-10,XS1691909920,6.342345500965666,57.5,45.0,0.575,0.956,7.0,0.43599999999999994,0.17822495899231794,1.9459101490553132,Financials,Sr Unsecured,500.0,6.214608098422191,A-
2017-10-13,FR0013290749,5.308893467358679,62.5,50.0,0.625,0.875,20.0,-0.581,0.2772533510860604,2.995732273553991,Corporate,Sr Unsecured,750.0,6.620073206530356,A
2017-10-18,XS1706200463,16.813938006216148,47.5,31.0,0.475,1.25,12.5,0.16216122518022735,0.10130195574836598,2.5257286443082556,Corporate,Sr Unsecured,500.0,6.214608098422191,A+
2017-10-24,XS1709509258,0.2453654031925283,,-4.0,-0.04,0.75,10.0,-0.16000000000000003,-0.030440362641471617,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2017-11-02,XS1715306012,3.079089617410471,102.5,87.5,1.025,1.0,7.0,0.529,0.5987685706378547,1.9459101490553132,Corporate,Sr Unsecured,700.0,6.551080335043404,BBB
2017-11-07,XS1716825507,-1.5661107964008243,,-4.0,-0.04,0.75,10.0,-0.06000000000000005,-0.13211182571178195,2.302585092994046,Financials,Secured,750.0,6.620073206530356,AAA
2017-11-07,FR0013296159,4.14887712501719,,10.0,0.1,1.25,15.0,0.03500000000000014,0.10163196542437015,2.70805020110221,Financials,Secured,1040.0,6.946975992135418,AAA
2017-11-08,XS1718316281,13.6636103354066,70.0,65.0,0.7,1.375,10.0,0.555,0.3954303478435081,2.302585092994046,Financials,Sr Non Preferred,750.0,6.620073206530356,BBB+
2017-11-09,XS1719108463,-2.0339370879759646,,-8.0,-0.08,0.375,7.0,-0.09499999999999996,-0.10322696571662172,1.9459101490553132,Financials,Secured,1500.0,7.313220387090301,AAA
2017-11-13,XS1720761490,13.565564999573292,115.0,96.5,1.15,1.5,8.0,0.8599999999999999,0.6065248861601323,2.0794415416798357,Corporate,Sr Unsecured,500.0,6.214608098422191,BBB+
2017-11-13,XS1719154574,-4.477124128964551,35.0,20.0,0.35,0.5,6.0,0.135,0.12479939207645169,1.791759469228055,Corporate,Sr Unsecured,500.0,6.214608098422191,A-
2017-11-14,XS1720922175,9.155015708907602,75.0,,0.75,1.0,7.0,0.51,0.3864367556824542,1.9459101490553132,Corporate,Sr Unsecured,1100.0,7.003065458786462,BBB+
2017-11-15,XS1721422902,5.554975474171471,170.0,160.0,1.7,2.875,20.0,1.4323,0.2810976743774765,2.995732273553991,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB+
2017-11-15,XS1721423462,10.717280790960418,80.0,67.5,0.8,1.1125,8.0,0.5125000000000001,0.37563793614510893,2.0794415416798357,Corporate,Sr Unsecured,1000.0,6.907755278982137,BBB+
2017-11-15,XS1720947917,-3.326662425970998,-1.0,,-0.01,0.75,10.0,-0.09499999999999996,-0.08585445008498403,2.302585092994046,Financials,Secured,500.0,6.214608098422191,AAA
2017-11-15,XS1721422068,11.144507347771976,110.0,100.0,1.1,1.875,12.0,0.835,0.1542535001650985,2.4849066497880004,Corporate,Sr Unsecured,750.0,6.620073206530356,BBB+
2017-11-16,XS1722558258,0.3302442768615345,,-4.0,-0.04,0.375,7.0,-0.10499999999999998,-0.04370976268819672,1.9459101490553132,Financials,Secured,500.0,6.214608098422191,AAA
2017-11-16,XS1722859532,5.137050563383542,35.0,30.0,0.35,0.625,7.0,0.14500000000000002,0.000311470422823344,1.9459101490553132,Financials,Sr Unsecured,500.0,6.214608098422191,AA-
2017-11-21,XS1725630740,5.948884872161628,45.0,35.0,0.45,0.625,6.17,0.2729819309302345,0.1817142961795312,1.8196988379172965,Corporate,Sr Unsecured,700.0,6.551080335043404,BBB+
