,Instrument,Date,Bid Yield
0,XS1432384664,2017-05-22T00:00:00Z,1.062
1,XS1432384664,2017-05-23T00:00:00Z,1.069
2,XS1432384664,2017-05-24T00:00:00Z,1.044
3,XS1432384664,2017-05-25T00:00:00Z,0.995
4,XS1432384664,2017-05-26T00:00:00Z,0.982
5,XS1432384664,2017-05-29T00:00:00Z,0.98
6,XS1432384664,2017-05-30T00:00:00Z,0.973
7,XS1432384664,2017-05-31T00:00:00Z,0.975
8,XS1432384664,2017-06-01T00:00:00Z,0.975
9,XS1432384664,2017-06-02T00:00:00Z,0.945
10,XS1432384664,2017-06-05T00:00:00Z,0.945
11,XS1432384664,2017-06-06T00:00:00Z,0.907
12,XS1432384664,2017-06-07T00:00:00Z,0.911
13,XS1432384664,2017-06-08T00:00:00Z,0.942
14,XS1432384664,2017-06-09T00:00:00Z,0.921
15,XS1432384664,2017-06-12T00:00:00Z,0.91
16,XS1432384664,2017-06-13T00:00:00Z,0.931
17,XS1432384664,2017-06-14T00:00:00Z,0.894
18,XS1432384664,2017-06-15T00:00:00Z,0.958
19,XS1432384664,2017-06-16T00:00:00Z,0.945
20,XS1432384664,2017-06-19T00:00:00Z,0.95
21,XS1432384664,2017-06-20T00:00:00Z,0.917
22,XS1432384664,2017-06-21T00:00:00Z,0.927
23,XS1432384664,2017-06-22T00:00:00Z,0.915
24,XS1432384664,2017-06-23T00:00:00Z,0.935
25,XS1432384664,2017-06-26T00:00:00Z,0.91
26,XS1432384664,2017-06-27T00:00:00Z,1.022
27,XS1432384664,2017-06-28T00:00:00Z,1.042
28,XS1432384664,2017-06-29T00:00:00Z,1.119
29,XS1432384664,2017-06-30T00:00:00Z,1.116
30,XS1731734585,2018-06-15T00:00:00Z,0.49
31,XS1731734585,2018-06-18T00:00:00Z,0.476
32,XS1731734585,2018-06-19T00:00:00Z,0.445
33,XS1731734585,2018-06-20T00:00:00Z,0.463
34,XS1731734585,2018-06-21T00:00:00Z,0.44
35,XS1731734585,2018-06-22T00:00:00Z,0.462
36,XS1731734585,2018-06-25T00:00:00Z,0.459
37,XS1731734585,2018-06-25T00:00:00Z,0.459
38,XS1731734585,2018-06-27T00:00:00Z,0.457
39,XS1731734585,2018-06-28T00:00:00Z,0.458
40,XS1731734585,2018-06-29T00:00:00Z,0.449
41,XS1731734585,2018-07-02T00:00:00Z,0.451
42,XS1731734585,2018-07-03T00:00:00Z,0.442
43,XS1731734585,2018-07-04T00:00:00Z,0.476
44,XS1731734585,2018-07-05T00:00:00Z,0.453
45,XS1731734585,2018-07-06T00:00:00Z,0.448
46,XS1731734585,2018-07-09T00:00:00Z,0.454
47,XS1731734585,2018-07-10T00:00:00Z,0.464
48,XS1731734585,2018-07-11T00:00:00Z,0.455
49,XS1731734585,2018-07-12T00:00:00Z,0.454
50,XS1731734585,2018-07-13T00:00:00Z,0.444
51,XS1731734585,2018-07-16T00:00:00Z,0.452
52,XS1731734585,2018-07-16T00:00:00Z,0.452
53,XS1731734585,2018-07-18T00:00:00Z,0.443
54,XS1731734585,2018-07-19T00:00:00Z,0.437
55,XS1731734585,2018-07-20T00:00:00Z,0.464
56,XS1731734585,2018-07-23T00:00:00Z,0.488
57,XS1731734585,2018-07-24T00:00:00Z,0.477
58,XS1731734585,2018-07-25T00:00:00Z,0.478
59,XS1766477522,2019-01-04T00:00:00Z,0.825
60,XS1766477522,2019-01-07T00:00:00Z,0.83
61,XS1766477522,2019-01-08T00:00:00Z,0.877
62,XS1766477522,2019-01-09T00:00:00Z,0.877
63,XS1766477522,2019-01-10T00:00:00Z,0.879
64,XS1766477522,2019-01-11T00:00:00Z,0.868
65,XS1766477522,2019-01-14T00:00:00Z,0.84
66,XS1766477522,2019-01-15T00:00:00Z,0.842
67,XS1766477522,2019-01-16T00:00:00Z,0.851
68,XS1766477522,2019-01-17T00:00:00Z,0.858
69,XS1766477522,2019-01-18T00:00:00Z,0.867
70,XS1766477522,2019-01-21T00:00:00Z,0.852
71,XS1766477522,2019-01-22T00:00:00Z,0.84
72,XS1766477522,2019-01-23T00:00:00Z,0.822
73,XS1766477522,2019-01-24T00:00:00Z,0.762
74,XS1766477522,2019-01-25T00:00:00Z,0.787
75,XS1766477522,2019-01-28T00:00:00Z,0.774
76,XS1766477522,2019-01-29T00:00:00Z,0.763
77,XS1766477522,2019-01-30T00:00:00Z,0.734
78,XS1766477522,2019-01-31T00:00:00Z,0.697
79,XS1766477522,2019-02-01T00:00:00Z,0.713
80,XS1766477522,2019-02-04T00:00:00Z,0.728
81,XS1766477522,2019-02-05T00:00:00Z,0.704
82,XS1766477522,2019-02-06T00:00:00Z,0.699
83,XS1766477522,2019-02-07T00:00:00Z,0.654
84,XS1766477522,2019-02-08T00:00:00Z,0.627
85,XS1766477522,2019-02-11T00:00:00Z,0.65
86,XS1766477522,2019-02-12T00:00:00Z,0.655
87,XS1766477522,2019-02-13T00:00:00Z,0.661
88,XS0991099630,2019-01-07T00:00:00Z,1.163
89,XS0991099630,2019-01-08T00:00:00Z,1.184
