,level_0,Security_Hash_Key,Effective_From_Date,Effective_To_Date,Hash_Diff_Effectivity,Is_Current,Is_Valid,dealDate,trancheBusinessKey,Pricing_currentLevel_type,bookState,hedgeBookState,timing,bookCloseLDN,bookCloseCET,Issuer_Hash_Key,name,issuerType,bondRatingType,countryName,issuerBusinessKey,lei,Moodys_Rating,SP_Rating,Fitch_Rating,currencyCode,expectedSize,actualSize,minimumDenomination,securities_isin,securityName,securityType,maturityTerm,maturityDate,coupon,seniority_name_1,seniority_name_1_adj,seniority_name_2,esgType,legalGoverningLaw_name_1,registrationType,referenceType,referenceName,index,referenceIsin,ipt,ipt_reference,ipt_price_down,ipt_price_up,ipt_equivalent,guidance,guidance_reference,guidance_price_down,guidance_price_up,guidance_equivalent,launch,launchValue,reoffer,reofferValue,reofferPrice,yieldToMaturity,status,moodys,sp,fitch,COUNTRY_ISO_CODE,ticker,ID_BB_Company,Ultimate_Obligor_ID,AFI_Commentary,AFI_Identifier_Obligor,Update_Date_Obligor,Coverage_Status_Obligor,Covered_By_Obligor,AGI_Financial_Obligor,Coverage_Status_Final_Company,Coverage_Status_Final_Company_Source,Coverage_Status_Final_Obligor,Coverage_Status_Final_Obligor_Source,finScore_upload_date,finScore_AFIIdentifier,Overall_Score,Financial_Score,Business_Score,Event_Score,Country_Ceiling,Risk_Cluster,ESG_Score,ECB_Demand,Industry_Group,Industry_Sector,frequency,paymentType,coupon_frequency,duration
0,0,4fdff8afdd6cee309e55be43275765e21d83c991,2017-04-26 12:19:09.227000,9999-12-31 23:59:59.999999,5fe0c04127a5344691bbf61abd67530e41c321e3,1,1,2017-04-26,IPREO|38020,Reoffer,Final,Books Closed,,,,59de9cfac1cf2a264223a1c2598960169218f093,Swedbank Mortgage AB,Financials,Investment Grade,Sweden,IPREO|213845,549300TJREQ7GHIXWR36,Aa3,A+,,EUR,Benchmark,1000000000,100000,XS1606633912,Swedbank EUR 7yr,Covered Bond,7.0,2024-05-08 02:00:00.000000,0.4,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,MS-2a,MS,-2.0,-2.0,,-6,,-6.0,-6.0,,MSW - 6 bps,-6.0,MSW - 6 bps,-6.0,99.904,,Priced,Aaa,AAA,,SE,SWEDA,218236,125259.0,investable,BA00178,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,,,,,,,,,,,,,Diversified Finan Serv,Financial,Annually,Fixed (FXD),1,6.916888000042135
1,5,2dd3662e633b323668e7fd26e729d1a986662b4e,2017-05-10 13:45:00.833000,9999-12-31 23:59:59.999999,abbd6e9d7f7bdbde04e9705c82049c18752e2e47,1,1,2017-05-10,IPREO|38069,Reoffer,,Books Closed,"Priced, FTT @ 14:50 LDN",14:50:00.0000000,,209535dba1c8d25dec4115264bfd4320c9124c31,Goldman Sachs Group Inc,Financials,Investment Grade,United States,IPREO|341017,784F5XWPLTWKTBV3E584,NR,,,EUR,,2000000000,1000,XS1614198262,7yr Non-Call 6yr,Bond (standard),7.0,2024-05-15 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsubordinated,,,Reg S,Mid Swaps,Mid Swaps,,,MS+95 area,MS,95.0,95.0,,,,,,,MSW + 90 bps,90.0,MSW + 90 bps,90.0,99.993,1.376,Priced,A3,BBB+,A,US,GS,348768,348768.0,investable,BA00201,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.721518735032706
2,6,fb39d5a4bf5aedfa7d5bc65389b3e6ee60ce6f61,2017-05-10 12:01:59.037000,9999-12-31 23:59:59.999999,01bd97fff1671398aeda6a259c47a2a32c640752,1,1,2017-05-10,IPREO|38068,Reoffer,Books Closed,Books Closed,,,,a96f7d40f1fbde2502a22da631262d328e87febc,De Volksbank N.V.,Financials,Investment Grade,Netherlands,IPREO|467089,724500A1FNICHSDF2I11,A2,A,A-,EUR,,500000000,100000,XS1614202049,NEW DE VOLKSBANK 10Y EUR500M NG CB,Covered Bond,10.0,2027-05-18 02:00:00.000000,0.75,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,,,,,,MS+4a,MS,4.0,4.0,,MSW + 3 bps,3.0,MSW + 3 bps,3.0,98.941,0.861,Priced,Aaa,,AAA,NL,DEVOBA,219539,219539.0,investable,BA00129,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,9.671576423889192
3,8,0c95a7ed6ebc75b5b1a0d6f19a0b41b5901955ec,2017-05-11 17:14:50.193000,9999-12-31 23:59:59.999999,2cee02d66a0e385511a142f9efade25ac9446b3d,1,1,2017-05-11,IPREO|38089,Reoffer,Final,Books Closed,,,,2075ea0360ded7abec0cd67e43ad5ef48249e48a,Westpac Banking Corporation,Financials,Investment Grade,Australia,IPREO|219295,EN5TNI6CI43VEPAMHL14,,,,EUR,Benchmark,1000000000,100000,XS1615085781,7 yr euro covered,Covered Bond,7.0,2024-05-17 02:00:00.000000,0.5,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,12bps area,,12.0,12.0,,"7YR guidance MS+8bps (+/-1) WPIR,  ",MS,8.0,8.0,"+/-1 WPIR,  ",MSW + 7 bps,7.0,MSW + 7 bps,7.0,99.644,,Priced,Aaa,,AAA,AU,WSTP,101650,101650.0,investable,BA00007,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.896384406068525
4,13,0cedf43c193a9b32e21e9c830f5b1425f640c586,2017-05-15 15:38:09.423000,9999-12-31 23:59:59.999999,3529aca13f61a27d7661e364c2ab23c753fc6e21,1,1,2017-05-15,IPREO|39102,Reoffer,,Books Closed,"Books open, today's business",,,b38811dfb5794d8f42c786d2f6d85dc267a9d4e1,E.ON SE,Corporate,Investment Grade,Germany,IPREO|209172,Q9MAIUP40P25UFBFG033,Baa2,BBB,BBB+,EUR,Benchmark,500000000,1000,XS1616410061,EUR 7yr,Bond (standard),7.0,2024-05-22 02:00:00.000000,0.875,Senior,Sr Unsecured,Unsecured,,German,Reg S,Mid Swaps,Mid Swaps,,,MS+50/55,MS,50.0,55.0,,,,,,,MSW + 50 bps,50.0,MSW + 50 bps,50.0,99.347,,Priced,Baa2,BBB,,DE,EOANGR,115761,115761.0,investable,UTL00037,18.07.2022 17:09,ok,RR,Utilities,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,UTL00037,5.786613,5.60035,6.531667,0.0,9.25,nc_weak,11.0,high,Electric,Utilities,Annually,Fixed (FXD),1,6.820454543675552
5,15,a8098961f750ddea0e1e01cd280d48d9a4057c0a,2017-05-16 17:35:40.700000,9999-12-31 23:59:59.999999,ca3ce4331d64d81f05e377e9711170eb041d619a,1,1,2017-05-16,IPREO|39143,Reoffer,Books Closed,Books Closed,,,,f39b3ca795ffbec06b8ddda61d4425dbf605a0ac,International Business Machines Corporation,Corporate,Investment Grade,United States,IPREO|228507,VGRQXHF3J8VDLUA7XE92,A3,A-,,EUR,,1000000000,100000,XS1617845083,IBM 8yr EUR,Bond (standard),8.0,2025-05-23 02:00:00.000000,0.95,Senior,Sr Unsecured,Unsecured,,New York State,SEC Registered,Mid Swaps,Mid Swaps,,,MS+55/60bps  ,MS,55.0,60.0,,MS+40/45,MS,40.0,45.0,,MSW + 37 bps,37.0,MSW + 37 bps,37.0,99.831,0.972,Priced,A1,A+,A+,US,IBM,100801,100801.0,investable,TEC00020,24.10.2019 08:51,ok,RK,Industrials,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,TEC00020,6.247707,6.62255,6.998333,-0.45,6.995,c_moderate,,,Computers,Technology,Annually,Fixed (FXD),1,7.74140464401229
6,19,299fb1ccee72bc76d31c4e0cf97e99f82cfe5db0,2017-05-19 15:32:45.917000,9999-12-31 23:59:59.999999,c85ec1190653eda7ac2e7a4adaf389fc8ec0e355,1,1,2017-05-19,IPREO|39191,Reoffer,Final,Books Closed,,,,ec581f4add3792eecbfe73ad4cc38a25f6f76d12,Experian Finance PLC,Corporate,Investment Grade,Britain,IPREO|208970,635400RKRK5EGXSPC782,Baa1,A-,,EUR,500,500000000,100000,XS1621351045,9Yr,Bond (standard),9.0,2026-06-25 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsecured,,English,Reg S,Mid Swaps,Mid Swaps,,,MS+75bp area,MS,75.0,75.0,,MS+65-70 WPIR,MS,65.0,70.0,,MSW + 70 bps,70.0,MSW + 70 bps,70.0,99.847,1.393,Priced,Baa1,A-,,GB,EXPNLN,111665,1475463.0,investable,,,,,,not_covered,GSUniverse,,,,,,,,,,,13.0,high,Commercial Services,"Consumer, Non-cyclical",Annually,Fixed (FXD),1,8.526857117867504
7,20,51c076f6ad9239916955db46e5cc6cc0229566d7,2017-05-22 13:59:27.683000,9999-12-31 23:59:59.999999,3f444a45e5f2b50cbe3c24104cc95cc60ff1b07e,1,1,2017-05-22,IPREO|39193,Reoffer,Final,Books Closed,,,,b81a1ff57f44b1a8975270aae2a52c3b53a308ef,Rabobank Nederland,Financials,Investment Grade,Netherlands,IPREO|466156,DG3RU1DBUFHT4ZF9WN62,,,,EUR,,1000000000,100000,XS1622193321,RABOBANK EUR 15 Y COVERED ,Covered Bond,15.0,2032-05-31 02:00:00.000000,1.25,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,ms+14 area,MS,14.0,14.0,,15y MS +10a (+/- 1bp) wpir,MS,10.0,10.0,+/- 1bp wpir,MSW + 9 bps,9.0,MSW + 9 bps,9.0,99.147,1.313,Priced,Aaa,NR,NR,NL,RABOBK,156262,156262.0,investable,BA00128,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,13.770552748458565
8,21,ab3390694046626e1b2cceafb4ee7acc0e8ae6ed,2017-05-22 13:59:27.683000,9999-12-31 23:59:59.999999,d3be3fa96a3767f78c6fb0b307e3b6958234f867,1,1,2017-05-22,IPREO|39194,Reoffer,Final,Books Closed,,,,b81a1ff57f44b1a8975270aae2a52c3b53a308ef,Rabobank Nederland,Financials,Investment Grade,Netherlands,IPREO|466156,DG3RU1DBUFHT4ZF9WN62,,,,EUR,,1500000000,100000,XS1622193248,RABOBANK EUR 7Y COVERED ,Covered Bond,7.0,2024-05-31 02:00:00.000000,0.25,Secured,Secured,,,,Reg S,Mid Swaps,Mid Swaps,,,ms-7 area,MS,-7.0,-7.0,,7y MS -10a (+/- 1bp) wpir,MS,-10.0,-10.0,+/- 1bp wpir,MSW - 11 bps,-11.0,MSW - 11 bps,-11.0,99.207,0.365,Priced,Aaa,NR,NR,NL,RABOBK,156262,156262.0,investable,BA00128,19.10.2021 14:20,covered_ok,AL_RK,Banks,covered_ok,SCF1Universe,covered_ok,SCF1Universe,,,,,,,,,,,Banks,Financial,Annually,Fixed (FXD),1,6.947848041048825
9,27,a24b821695b0cc2d72563f39a9a751452c4d3fb9,2017-05-31 14:34:01.907000,9999-12-31 23:59:59.999999,ddab0776e2312e8829abc7b5f4402e133db351f1,1,1,2017-05-31,IPREO|39262,Reoffer,Final,Books Closed,,,,70fd61bd7ca727e96fa02beb960be9c40284cab1,"Saint-Gobain, Compagnie de",Corporate,Investment Grade,France,IPREO|321674,NFONVGN05Z0FMN5PEC35,Baa1,BBB,,EUR,Benchmark,750000000,100000,XS1627193359,10Y,Bond (standard),10.0,2027-06-14 02:00:00.000000,1.375,Senior,Sr Unsecured,Unsecured,,English,Reg S,Mid Swaps,Mid Swaps,,,MS+75-80bps,MS,75.0,80.0,,MS+65 +/- 3bps Will Price In Range,MS,65.0,65.0,+/- 3bps Will Price In Range,MSW + 62 bps,62.0,MSW + 62 bps,62.0,99.935,1.382,Priced,Baa2,BBB,,FR,SGOFP,115304,115304.0,investable,IND00060,21.01.2020 18:07,ok,RR,Building Materials,covered_ok,GSUniverse,covered_ok,GSUniverse,24.05.2023 06:08,IND00060,7.73476,7.63095,8.15,0.0,7.996666,c_strong,9.0,high,Building Materials,Industrial,Annually,Fixed (FXD),1,9.4112030755783
