,security,FIXED_REOFFER_YIELD
0,DK0009412553,3.252
1,XS2606261597,4.528
2,XS2606264005,4.071
3,XS2626288257,4.566
4,XS2626691906,
5,XS2626344266,3.758
6,XS2626343375,3.678
7,XS2625194811,4.677
8,FR001400I2W5,3.121
9,XS2626022656,3.437
10,DE000BHY0GT7,2.99
11,XS2625985945,4.553
12,XS2625968347,3.358
13,XS2625968776,3.633
14,XS2623956773,4.312
15,XS2625968693,3.255
16,XS2624977554,4.859
17,XS2623957078,3.63
18,XS2624976077,4.578
19,FR001400I3C5,3.47
20,XS2625136531,4.072
21,XS2590758822,4.311
22,XS2623868994,3.792
23,FR001400HX73,3.232
24,FR001400HX81,2.99
25,XS2621830848,3.137
26,FR001400I145,3.373
27,XS2624502105,3.088
28,AT0000A34D99,3.292
29,XS2590758665,3.968
30,XS2590758400,3.604
31,DE000A351TP5,3.188
32,ES0365936048,5.63
33,DE000A351NR4,3.179
34,DE000A351TJ8,
35,XS2623820953,3.347
36,AT0000A34CR4,3.266
37,DE000A3LHK72,4.141
38,DE000A351M80,3.046
39,DE000A3LHK80,4.264
40,BE0002938190,4.042
41,FR001400HZD5,3.229
42,XS2621812192,3.443
43,XS2618731256,4.874
44,FR001400HU68,3.807
45,XS2619751576,3.898
46,XS2618499177,3.849
47,XS2618690981,4.239
48,XS2599156192,5.561
49,XS2618704014,3.458
50,XS2613162424,3.769
51,FR001400HQM5,4.079
52,XS2618711068,3.293
53,XS2617442525,4.25
54,XS2617457127,4.679
55,FR001400HOZ2,4.02
56,XS2617456582,4.48
57,XS2616008541,3.777
58,CH1251998238,4.846
59,XS2617508481,3.354
60,XS2616008970,3.841
61,DE000LB386A8,3.332
62,XS2617256149,3.286
63,XS2617256065,3.307
64,XS2613209670,4.443
65,XS2615940215,4.579
66,FR001400HMF8,4.468
67,XS2615271629,5.015
68,XS2611221032,6.739
69,XS2614623978,4.225
70,XS2615559130,3.519
71,XS2610209129,3.87
72,XS2610788569,3.939
73,DE000MHB34J3,3.169
74,FR001400HJE7,3.402
75,XS2615183501,3.722
76,FR001400HCM5,3.31
77,XS2607193435,3.761
78,DE000CZ43ZX7,3.132
79,XS2613658470,3.805
80,XS2613472963,4.31
81,XS2613838296,3.213
82,XS2613658710,4.391
83,AT0000A33N23,3.292
84,DE000BLB6JV5,3.025
85,FR001400HF42,3.23
86,FI4000466412,-0.274
87,PTBSPAOM0008,3.481
88,XS2613159719,3.346
89,FR001400H9H2,3.135
90,FR001400HAC0,3.754
91,AT0000A33MP9,3.154
92,DE000A3MQU11,
93,FR001400H9B5,4.358
94,FR001400H8X1,3.282
95,FR001400H8D3,4.311
96,FR001400H5F4,3.441
97,XS2608828641,4.611
98,XS2606297864,4.011
99,XS2606993694,3.457
100,XS2607381436,4.273
101,XS2607040958,4.256
102,XS2603552014,3.629
103,XS2605914105,3.907
