Date,EURAB6E10Y=,EURAB6E11Y=,EURAB6E12Y=,EURAB6E13Y=,EURAB6E14Y=,EURAB6E15Y=,EURAB6E16Y=,EURAB6E17Y=,EURAB6E18M=,EURAB6E18Y=,EURAB6E19Y=,EURAB6E1Y=,EURAB6E20Y=,EURAB6E21Y=,EURAB6E22Y=,EURAB6E23Y=,EURAB6E24Y=,EURAB6E25Y=,EURAB6E26Y=,EURAB6E27Y=,EURAB6E28Y=,EURAB6E29Y=,EURAB6E2Y=,EURAB6E30Y=,EURAB6E3Y=,EURAB6E40Y=,EURAB6E4Y=,EURAB6E50Y=,EURAB6E5Y=,EURAB6E6Y=,EURAB6E7Y=,EURAB6E8Y=,EURAB6E9Y=
2017-01-02T00:00:00Z,0.665,0.753,0.839,0.911,0.973,1.03,1.07,1.106,-0.193,1.134,1.157,-0.205,1.178,1.189,1.201,1.209,1.217,1.235,1.227,1.231,1.234,1.237,-0.1705,1.24,-0.113,1.245,-0.039,1.185,0.061,0.176,0.305,0.429,0.548
2017-01-03T00:00:00Z,0.695,0.793,0.878,0.952,1.0146,1.067,1.111,1.146,-0.182,1.175,1.198,-0.195,1.215,1.229,1.24,1.248,1.254,1.285,1.263,1.267,1.27,1.273,-0.1615,1.275,-0.095,1.305,-0.019,1.245,0.088,0.207,0.335,0.463,0.586
2017-01-04T00:00:00Z,0.705,0.8004,0.8882,0.9629,1.0256,1.0792,1.1232,1.1576,-0.187,1.1857,1.2095,-0.205,1.2312,1.2477,1.2591,1.2667,1.269,1.295,1.2804,1.2846,1.2885,1.2918,-0.1635,1.2942,-0.095,1.315,-0.01,1.255,0.097,0.217,0.344,0.4705,0.591
2017-01-05T00:00:00Z,0.685,0.779,0.863,0.935,0.997,1.053,1.092,1.128,-0.191,1.156,1.178,-0.205,1.195,1.209,1.22,1.228,1.234,1.255,1.244,1.247,1.25,1.253,-0.1685,1.255,-0.095,1.275,-0.01,1.215,0.097,0.213,0.336,0.458,0.576
2017-01-06T00:00:00Z,0.735,0.826,0.912,0.985,1.048,1.102,1.147,1.183,-0.185,1.212,1.234,-0.205,1.252,1.267,1.277,1.286,1.292,1.325,1.302,1.306,1.31,1.313,-0.1575,1.315,-0.075,1.345,0.008,1.285,0.122,0.243,0.3717,0.4978,0.619
2017-01-09T00:00:00Z,0.701,0.8,0.886,0.957,1.024,1.077,1.1183,1.1546,-0.192,1.1842,1.208,-0.205,1.23,1.248,1.26,1.265,1.275,1.305,1.282,1.287,1.291,1.293,-0.165,1.295,-0.085,1.325,-0.0055,1.265,0.105,0.222,0.347,0.473,0.592
2017-01-10T00:00:00Z,0.703,0.8001,0.886,0.9605,1.0238,1.077,1.1217,1.1581,-0.1936,1.19,1.2119,-0.215,1.231,1.247,1.258,1.273,1.275,1.305,1.286,1.29,1.294,1.298,-0.165,1.3,-0.095,1.325,-0.006,1.285,0.105,0.223,0.348,0.474,0.594
2017-01-11T00:00:00Z,0.669,0.771,0.851,0.9292,0.9924,1.041,1.093,1.13,-0.205,1.157,1.1809,-0.225,1.195,1.216,1.216,1.225,1.232,1.265,1.242,1.246,1.262,1.254,-0.175,1.262,-0.105,1.295,-0.025,1.245,0.08,0.195,0.318,0.441,0.567
2017-01-12T00:00:00Z,0.67,0.776,0.866,0.937,1.001,1.048,1.1051,1.13,-0.2037,1.161,1.196,-0.225,1.2198,1.233,1.246,1.249,1.265,1.272,1.278,1.274,1.289,1.284,-0.175,1.29,-0.105,1.3118,-0.025,1.266,0.078,0.194,0.3225,0.44,0.5696
2017-01-13T00:00:00Z,0.681,0.778,0.868,0.9435,1.007,1.064,1.109,1.148,-0.204,1.18,1.2059,-0.225,1.228,1.244,1.258,1.276,1.279,1.2865,1.295,1.301,1.307,1.312,-0.175,1.318,-0.105,1.3275,-0.0225,1.285,0.081,0.198,0.322,0.448,0.57
2017-01-16T00:00:00Z,0.695,0.789,0.876,0.953,1.018,1.073,1.121,1.161,-0.207,1.192,1.218,-0.225,1.238,1.256,1.27,1.281,1.291,1.315,1.306,1.312,1.318,1.324,-0.185,1.327,-0.115,1.365,-0.025,1.325,0.078,0.197,0.323,0.452,0.575
2017-01-17T00:00:00Z,0.685,0.7747,0.861,0.9389,1.0037,1.057,1.102,1.141,-0.208,1.172,1.2013,-0.225,1.22,1.236,1.249,1.278,1.27,1.315,1.285,1.302,1.297,1.302,-0.175,1.309,-0.105,1.365,-0.025,1.325,0.079,0.194,0.316,0.441,0.562
